Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,NSGAII,MOEAD
33,0.2056,0.0505236578,0.248123662,3.1856187187,-0.2141602255,0.3596,0.049028971,-0.1776959478,2.4578874546,0.2623896895,0.4348,0.0438287577,-0.1563232338,2.2742816914,0.5424135796,0.4348,0.0438287577,-0.1563232338,2.2742816914,0.5424135796,0.766368041985,0.7674767492499999
34,0.2588,0.0398316457,0.3521234694,2.5625330631,-0.4811537885,0.2384,0.0397673233,-0.1444950316,2.8864485253,0.2861363052,0.5028,0.0573773474,0.2389535562,2.3419479715,-0.5617717076,0.5028,0.0573773474,0.2389535562,2.3419479715,-0.5617717076,0.76450556945,0.76534509645
35,0.2492,0.0650489047,0.2309659617,2.3902240703,0.4411910442,0.2368,0.0500975049,0.2678491509,1.9444759321,-0.1809675086,0.514,0.0685857128,0.1442713294,2.7184940303,0.0224655583,0.514,0.0685857128,0.1442713294,2.7184940303,0.0224655583,0.7563227377499999,0.7574199465999999
36,0.26,0.0404969135,0.1446700508,2.4720404521,0.6034786926,0.204,0.0382622529,0.3547473374,2.1556481233,0.412168406,0.536,0.0410852772,0.0949175043,2.8946227623,-0.0276848749,0.536,0.0410852772,0.0949175043,2.8946227623,-0.0276848749,0.7276138883000002,0.7286659674000001
37,0.3116,0.0442429655,-0.1714243922,2.7271458561,0.3173124224,0.168,0.0331058907,-0.0462393913,2.2524108903,0.4008372137,0.5204,0.0448535394,-0.1463549201,2.9846045434,0.2928443184,0.5204,0.0448535394,-0.1463549201,2.9846045434,0.2928443184,0.72919403098,0.73100726895
38,0.3012,0.0501453886,0.1315843774,3.4029332921,-0.6723112972,0.268,0.0451663592,0.0994206063,2.4441291811,0.4146761464,0.4308,0.0560656758,0.3436379609,3.9570143707,-0.6592608619,0.4308,0.0560656758,0.3436379609,3.9570143707,-0.6592608619,0.7765490827000001,0.7782359220500001
39,0.3168,0.0597809334,0.2217920076,2.4926729791,-0.6484618029,0.2616,0.0560485504,0.3334645164,2.6771155966,-0.4200697528,0.4216,0.052587451,-0.2066598158,2.9606344392,0.0863784164,0.4216,0.052587451,-0.2066598158,2.9606344392,0.0863784164,0.70680990205,0.7078194889
40,0.2532,0.036847795,-0.3488923858,2.4784643701,0.3688300125,0.2652,0.0569996491,0.1385998885,2.6373857165,0.3880111181,0.4816,0.0605098339,0.1862135639,2.2442108564,0.0936163364,0.4816,0.0605098339,0.1862135639,2.2442108564,0.0936163364,0.8218606848000001,0.8241837815499998
41,0.2276,0.055517925,-0.3631154024,1.948609828,0.0834852031,0.2068,0.0397713465,-0.0999401114,2.381972021,0.2902246708,0.5656,0.0523129047,-0.2692971253,2.4220637971,-0.0401725637,0.5656,0.0523129047,-0.2692971253,2.4220637971,-0.0401725637,0.7497979333050001,0.7506875140999999
42,0.2668,0.05654874,-0.0141460787,2.4956568517,-0.228661706,0.2284,0.0488818985,0.1779478965,2.2711003008,0.5920650066,0.5048,0.0763738175,-0.0357143249,2.3966154859,-0.0891279804,0.5048,0.0763738175,-0.0357143249,2.3966154859,-0.0891279804,0.8757642023500001,0.8762528021000001
43,0.232,0.0402988834,0.0696978762,3.1968380694,0.7268350374,0.2672,0.0501613397,0.3874365154,2.0941678272,0.0551262015,0.5008,0.0473218765,0.0100665373,2.7172844101,0.269367092,0.5008,0.0473218765,0.0100665373,2.7172844101,0.269367092,0.636202389055,0.63861530075
44,0.2748,0.0701495545,0.4258742543,3.2138191574,0.812239351,0.2216,0.0731945353,0.7574976779,1.9288125866,-0.2353264311,0.5036,0.0461198439,-0.2538217976,3.8196162318,0.1898221076,0.5036,0.0461198439,-0.2538217976,3.8196162318,0.1898221076,0.69254160251,0.6944848751499999
45,0.2416,0.031959975,0.1463710398,2.0146660118,-0.042487353,0.2056,0.0366693332,0.1904632594,2.7791814985,0.1386096246,0.5528,0.0419065627,0.2619803096,1.9095820778,0.2596154666,0.5528,0.0419065627,0.2619803096,1.9095820778,0.2596154666,0.82206636465,0.8222260777500001
46,0.206,0.0397994975,0.0378548896,2.7093663912,-0.1301980806,0.3272,0.0459147035,0.0791922706,2.6177322045,-0.5164442833,0.4668,0.0531954885,0.09479026,2.4979410514,0.6632442382,0.4668,0.0531954885,0.09479026,2.4979410514,0.6632442382,0.85322618785,0.8532817499
47,0.214,0.0381575681,0.0291318477,3.0277442338,0.2661030739,0.3212,0.0560942065,0.1309153757,2.3548491735,0.0262354485,0.4648,0.054119867,-0.0874720769,2.2603791733,0.1753297609,0.4648,0.054119867,-0.0874720769,2.2603791733,0.1753297609,0.71962372875,0.7200559511499999
48,0.3836,0.0709861958,0.4013700426,2.2575393405,-0.202929341,0.3124,0.0527090125,-0.1491874456,3.5681233739,0.6155688508,0.304,0.0656048779,0.2639631888,2.0143551084,-0.0244790937,0.304,0.0656048779,0.2639631888,2.0143551084,-0.0244790937,0.8177354966099999,0.8178033840499997
49,0.2568,0.0397713465,-0.0203110252,2.8476284714,0.091842014,0.2288,0.0358128469,0.1387739558,2.0302884127,0.0509217461,0.5144,0.0571370283,0.2185694904,2.5226742388,-0.1725090691,0.5144,0.0571370283,0.2185694904,2.5226742388,-0.1725090691,0.7407271528,0.7416025691500001
50,0.2716,0.050571138,-0.4378358858,3.236999011,0.6634070453,0.3116,0.0478062757,0.1525803452,2.6690312359,0.2744484535,0.4168,0.0456701215,-0.2065478078,4.5595383135,1.0688574839,0.4168,0.0456701215,-0.2065478078,4.5595383135,1.0688574839,0.725652133275,0.7268988761499999
51,0.2112,0.0343301617,0.3878674199,3.8055226776,0.5742799505,0.3424,0.0464137911,-0.2866456349,4.3939497205,0.5216271853,0.4464,0.0480732774,0.0257005805,2.4751580815,0.4594619693,0.4464,0.0480732774,0.0257005805,2.4751580815,0.4594619693,0.741080836505,0.74112207175
52,0.272,0.1250279969,0.6645010502,2.2504931752,0.2155095614,0.1896,0.0898211556,0.1212444454,3.5260754674,0.6442189781,0.5384,0.1033316989,0.6613511531,2.1917360533,-0.1733898925,0.5384,0.1033316989,0.6613511531,2.1917360533,-0.1733898925,0.7012596951500001,0.7012597026500001
53,0.2964,0.0974014374,0.6976534847,2.2010000297,0.1458649355,0.3296,0.0719711053,0.3778625233,2.1914335351,-0.4694868203,0.374,0.0676461381,0.3891279904,2.1271089051,-0.0623359047,0.374,0.0676461381,0.3891279904,2.1271089051,-0.0623359047,0.8849452218,0.8852070294000001
54,0.2024,0.0583972602,0.4524168447,2.3242518518,0.4852276779,0.3252,0.0454418309,0.2466387357,2.645211634,-0.10138996,0.4724,0.0489309718,0.3386826853,2.8909090987,-0.2804238478,0.4724,0.0489309718,0.3386826853,2.8909090987,-0.2804238478,0.6833471601000001,0.6839509701
